tipo	grupo	nombre	version	licencia	purl
library	-	bytes	3.1.2	MIT	pkg:npm/bytes@3.1.2
library	-	call-bind-apply-helpers	1.0.2	MIT	pkg:npm/call-bind-apply-helpers@1.0.2
library	-	call-bound	1.0.4	MIT	pkg:npm/call-bound@1.0.4
library	-	callsites	3.1.0	MIT	pkg:npm/callsites@3.1.0
library	-	camelcase	5.3.1	MIT	pkg:npm/camelcase@5.3.1
library	-	caniuse-lite	1.0.30001806	CC-BY-4.0	pkg:npm/caniuse-lite@1.0.30001806
library	-	chalk	4.1.2	MIT	pkg:npm/chalk@4.1.2
library	-	char-regex	1.0.2	MIT	pkg:npm/char-regex@1.0.2
library	-	chownr	1.1.4	ISC	pkg:npm/chownr@1.1.4
library	-	ci-info	3.9.0	MIT	pkg:npm/ci-info@3.9.0
library	-	cjs-module-lexer	1.4.3	MIT	pkg:npm/cjs-module-lexer@1.4.3
library	-	cliui	8.0.1	ISC	pkg:npm/cliui@8.0.1
library	-	co	4.6.0	MIT	pkg:npm/co@4.6.0
library	-	collect-v8-coverage	1.0.3	MIT	pkg:npm/collect-v8-coverage@1.0.3
library	-	color-convert	2.0.1	MIT	pkg:npm/color-convert@2.0.1
library	-	color-name	1.1.4	MIT	pkg:npm/color-name@1.1.4
library	-	combined-stream	1.0.8	MIT	pkg:npm/combined-stream@1.0.8
library	-	component-emitter	1.3.1	MIT	pkg:npm/component-emitter@1.3.1
library	-	concat-map	0.0.1	MIT	pkg:npm/concat-map@0.0.1
library	-	content-disposition	0.5.4	MIT	pkg:npm/content-disposition@0.5.4
library	-	content-type	1.0.5	MIT	pkg:npm/content-type@1.0.5
library	-	convert-source-map	2.0.0	MIT	pkg:npm/convert-source-map@2.0.0
library	-	cookie	0.7.2	MIT	pkg:npm/cookie@0.7.2
library	-	cookie-signature	1.0.7	MIT	pkg:npm/cookie-signature@1.0.7
library	-	cookiejar	2.1.4	MIT	pkg:npm/cookiejar@2.1.4
library	-	cors	2.8.6	MIT	pkg:npm/cors@2.8.6
library	-	create-jest	29.7.0	MIT	pkg:npm/create-jest@29.7.0
library	-	cross-spawn	7.0.6	MIT	pkg:npm/cross-spawn@7.0.6
library	-	debug	2.6.9	MIT	pkg:npm/debug@2.6.9
library	-	decompress-response	6.0.0	MIT	pkg:npm/decompress-response@6.0.0
library	-	dedent	1.7.2	MIT	pkg:npm/dedent@1.7.2
library	-	deep-extend	0.6.0	MIT	pkg:npm/deep-extend@0.6.0
library	-	deepmerge	4.3.1	MIT	pkg:npm/deepmerge@4.3.1
library	-	delayed-stream	1.0.0	MIT	pkg:npm/delayed-stream@1.0.0
library	-	depd	2.0.0	MIT	pkg:npm/depd@2.0.0
library	-	destroy	1.2.0	MIT	pkg:npm/destroy@1.2.0
library	-	detect-libc	2.1.2	Apache-2.0	pkg:npm/detect-libc@2.1.2
library	-	detect-newline	3.1.0	MIT	pkg:npm/detect-newline@3.1.0
library	-	dezalgo	1.0.4	ISC	pkg:npm/dezalgo@1.0.4
library	-	diff-sequences	29.6.3	MIT	pkg:npm/diff-sequences@29.6.3
library	-	dunder-proto	1.0.1	MIT	pkg:npm/dunder-proto@1.0.1
library	-	ee-first	1.1.1	MIT	pkg:npm/ee-first@1.1.1
library	-	electron-to-chromium	1.5.396	ISC	pkg:npm/electron-to-chromium@1.5.396
library	-	emittery	0.13.1	MIT	pkg:npm/emittery@0.13.1
library	-	emoji-regex	8.0.0	MIT	pkg:npm/emoji-regex@8.0.0
library	-	encodeurl	2.0.0	MIT	pkg:npm/encodeurl@2.0.0
library	-	end-of-stream	1.4.5	MIT	pkg:npm/end-of-stream@1.4.5
library	-	error-ex	1.3.4	MIT	pkg:npm/error-ex@1.3.4
library	-	es-define-property	1.0.1	MIT	pkg:npm/es-define-property@1.0.1
library	-	es-errors	1.3.0	MIT	pkg:npm/es-errors@1.3.0
library	-	es-object-atoms	1.1.2	MIT	pkg:npm/es-object-atoms@1.1.2
library	-	es-set-tostringtag	2.1.0	MIT	pkg:npm/es-set-tostringtag@2.1.0
library	-	escalade	3.2.0	MIT	pkg:npm/escalade@3.2.0
library	-	escape-html	1.0.3	MIT	pkg:npm/escape-html@1.0.3
library	-	escape-string-regexp	2.0.0	MIT	pkg:npm/escape-string-regexp@2.0.0
library	-	esprima	4.0.1	BSD-2-Clause	pkg:npm/esprima@4.0.1
library	-	etag	1.8.1	MIT	pkg:npm/etag@1.8.1
library	-	execa	5.1.1	MIT	pkg:npm/execa@5.1.1
library	-	exit	0.1.2	N/D	pkg:npm/exit@0.1.2
library	-	expand-template	2.0.3	(MIT OR WTFPL)	pkg:npm/expand-template@2.0.3
library	-	expect	29.7.0	MIT	pkg:npm/expect@29.7.0
library	-	express	4.22.2	MIT	pkg:npm/express@4.22.2
library	-	fast-json-stable-stringify	2.1.0	MIT	pkg:npm/fast-json-stable-stringify@2.1.0
library	-	fast-safe-stringify	2.1.1	MIT	pkg:npm/fast-safe-stringify@2.1.1
library	-	fb-watchman	2.0.2	Apache-2.0	pkg:npm/fb-watchman@2.0.2
library	-	file-uri-to-path	1.0.0	MIT	pkg:npm/file-uri-to-path@1.0.0
library	-	fill-range	7.1.1	MIT	pkg:npm/fill-range@7.1.1
library	-	finalhandler	1.3.2	MIT	pkg:npm/finalhandler@1.3.2
library	-	find-up	4.1.0	MIT	pkg:npm/find-up@4.1.0
library	-	form-data	4.0.6	MIT	pkg:npm/form-data@4.0.6
library	-	formidable	3.5.4	MIT	pkg:npm/formidable@3.5.4
library	-	forwarded	0.2.0	MIT	pkg:npm/forwarded@0.2.0
library	-	fresh	0.5.2	MIT	pkg:npm/fresh@0.5.2
library	-	fs-constants	1.0.0	MIT	pkg:npm/fs-constants@1.0.0
library	-	fs.realpath	1.0.0	ISC	pkg:npm/fs.realpath@1.0.0
library	-	fsevents	2.3.3	MIT	pkg:npm/fsevents@2.3.3
library	-	function-bind	1.1.2	MIT	pkg:npm/function-bind@1.1.2
library	-	gensync	1.0.0-beta.2	MIT	pkg:npm/gensync@1.0.0-beta.2
library	-	get-caller-file	2.0.5	ISC	pkg:npm/get-caller-file@2.0.5
library	-	get-intrinsic	1.3.0	MIT	pkg:npm/get-intrinsic@1.3.0
library	-	get-package-type	0.1.0	MIT	pkg:npm/get-package-type@0.1.0
library	-	get-proto	1.0.1	MIT	pkg:npm/get-proto@1.0.1
library	-	get-stream	6.0.1	MIT	pkg:npm/get-stream@6.0.1
library	-	github-from-package	0.0.0	MIT	pkg:npm/github-from-package@0.0.0
library	-	glob	7.2.3	ISC	pkg:npm/glob@7.2.3
library	-	gopd	1.2.0	MIT	pkg:npm/gopd@1.2.0
library	-	graceful-fs	4.2.11	ISC	pkg:npm/graceful-fs@4.2.11
library	-	has-flag	4.0.0	MIT	pkg:npm/has-flag@4.0.0
library	-	has-symbols	1.1.0	MIT	pkg:npm/has-symbols@1.1.0
library	-	has-tostringtag	1.0.2	MIT	pkg:npm/has-tostringtag@1.0.2
library	-	hasown	2.0.4	MIT	pkg:npm/hasown@2.0.4
library	-	html-escaper	2.0.2	MIT	pkg:npm/html-escaper@2.0.2
library	-	http-errors	2.0.1	MIT	pkg:npm/http-errors@2.0.1
library	-	human-signals	2.1.0	Apache-2.0	pkg:npm/human-signals@2.1.0
library	-	iconv-lite	0.4.24	MIT	pkg:npm/iconv-lite@0.4.24
library	-	ieee754	1.2.1	BSD-3-Clause	pkg:npm/ieee754@1.2.1
library	-	import-local	3.2.0	MIT	pkg:npm/import-local@3.2.0
library	-	imurmurhash	0.1.4	MIT	pkg:npm/imurmurhash@0.1.4
library	-	inflight	1.0.6	ISC	pkg:npm/inflight@1.0.6
library	-	inherits	2.0.4	ISC	pkg:npm/inherits@2.0.4
library	-	ini	1.3.8	ISC	pkg:npm/ini@1.3.8
library	-	ipaddr.js	1.9.1	MIT	pkg:npm/ipaddr.js@1.9.1
library	-	is-arrayish	0.2.1	MIT	pkg:npm/is-arrayish@0.2.1
library	-	is-core-module	2.16.2	MIT	pkg:npm/is-core-module@2.16.2
library	-	is-fullwidth-code-point	3.0.0	MIT	pkg:npm/is-fullwidth-code-point@3.0.0
library	-	is-generator-fn	2.1.0	MIT	pkg:npm/is-generator-fn@2.1.0
library	-	is-number	7.0.0	MIT	pkg:npm/is-number@7.0.0
library	-	is-stream	2.0.1	MIT	pkg:npm/is-stream@2.0.1
library	-	isexe	2.0.0	ISC	pkg:npm/isexe@2.0.0
library	-	istanbul-lib-coverage	3.2.2	BSD-3-Clause	pkg:npm/istanbul-lib-coverage@3.2.2
library	-	istanbul-lib-instrument	6.0.3	BSD-3-Clause	pkg:npm/istanbul-lib-instrument@6.0.3
library	-	semver	7.8.5	ISC	pkg:npm/semver@7.8.5
library	-	istanbul-lib-report	3.0.1	BSD-3-Clause	pkg:npm/istanbul-lib-report@3.0.1
library	-	istanbul-lib-source-maps	4.0.1	BSD-3-Clause	pkg:npm/istanbul-lib-source-maps@4.0.1
library	-	debug	4.4.3	MIT	pkg:npm/debug@4.4.3
library	-	ms	2.1.3	MIT	pkg:npm/ms@2.1.3
library	-	istanbul-reports	3.2.0	BSD-3-Clause	pkg:npm/istanbul-reports@3.2.0
library	-	jest	29.7.0	MIT	pkg:npm/jest@29.7.0
library	-	jest-changed-files	29.7.0	MIT	pkg:npm/jest-changed-files@29.7.0
library	-	jest-circus	29.7.0	MIT	pkg:npm/jest-circus@29.7.0
library	-	jest-cli	29.7.0	MIT	pkg:npm/jest-cli@29.7.0
library	-	jest-config	29.7.0	MIT	pkg:npm/jest-config@29.7.0
library	-	jest-diff	29.7.0	MIT	pkg:npm/jest-diff@29.7.0
library	-	jest-docblock	29.7.0	MIT	pkg:npm/jest-docblock@29.7.0
library	-	jest-each	29.7.0	MIT	pkg:npm/jest-each@29.7.0
library	-	jest-environment-node	29.7.0	MIT	pkg:npm/jest-environment-node@29.7.0
library	-	jest-get-type	29.6.3	MIT	pkg:npm/jest-get-type@29.6.3
library	-	jest-haste-map	29.7.0	MIT	pkg:npm/jest-haste-map@29.7.0
library	-	jest-leak-detector	29.7.0	MIT	pkg:npm/jest-leak-detector@29.7.0
library	-	jest-matcher-utils	29.7.0	MIT	pkg:npm/jest-matcher-utils@29.7.0
library	-	jest-message-util	29.7.0	MIT	pkg:npm/jest-message-util@29.7.0
library	-	jest-mock	29.7.0	MIT	pkg:npm/jest-mock@29.7.0
